Instance,Pred_class,class,Matches,x,y,Mix,Account_Balance,Duration_of_Credit,Payment_Status_of_Previous_Credit,Credit_Amount,Value_Savings,Length_emp,Installment,Duration_current_add,Age,class_new
434,0,0,Match,-0.291690511,0.458431856,"R2,R23,R57,R77,R105,R135,R179,R187,R217,R239",1,24,1,2058,2,3,4,2,33,1
435,0,0,Match,-0.249267649,-0.619573813,"R11,R26,R60,R78,R110,R141,R163,R191,R222,R250",2,9,2,2136,2,3,3,2,25,1
436,1,1,Match,-0.113528898,-0.56361286,"R10,R27,R50,R78,R110,R147,R163,R191,R214,R250",3,12,2,1484,1,3,2,1,25,2
437,0,0,Match,0.008403623,0.723109525,"R2,R25,R65,R80,R107,R136,R160,R186,R217,R246",1,6,2,660,4,4,2,4,23,1
438,0,0,Match,-0.00268997,0.53009895,"R2,R25,R68,R82,R107,R137,R181,R187,R217,R240",1,24,1,1287,5,5,4,4,37,1
439,1,0,NonMatch,-0.488560988,-0.20464276,"R18,R37,R62,R97,R113,R154,R179,R191,R229,R242",2,42,1,3394,2,1,4,4,65,1
440,1,1,Match,0.625220723,-0.338450797,"R10,R38,R60,R87,R110,R148,R179,R195,R228,R251",4,12,3,609,2,2,4,1,26,2
441,0,0,Match,-0.044065701,0.549270201,"R2,R25,R65,R82,R105,R137,R181,R187,R217,R247",1,12,2,1884,2,5,4,4,39,1
442,0,0,Match,0.143746595,-0.420244169,"R20,R27,R51,R78,R110,R147,R177,R191,R228,R250",2,12,2,1620,2,3,2,3,30,1
443,0,0,Match,0.007009794,-0.324617075,"R15,R27,R51,R78,R112,R147,R177,R190,R228,R237",3,20,0,2629,2,3,2,3,29,1
444,0,1,NonMatch,0.032480769,0.655300896,"R2,R25,R65,R80,R105,R137,R181,R186,R217,R246",1,12,2,719,2,5,4,4,41,2
445,0,1,NonMatch,0.608487598,0.144407408,"R16,R36,R51,R97,R123,R152,R177,R205,R228,R242",3,48,1,5096,2,3,2,3,30,2
446,0,0,Match,0.011650167,0.598651148,"R2,R25,R65,R82,R105,R137,R169,R187,R210,R234",1,9,1,1244,1,5,4,4,41,1
447,1,1,Match,0.47118204,-0.272891711,"R20,R36,R62,R93,R113,R154,R179,R191,R228,R250",2,36,2,1842,2,2,4,4,34,2
448,0,0,Match,-0.395257036,-0.491833548,"R20,R26,R51,R78,R110,R142,R173,R191,R226,R249",3,7,2,2576,2,3,2,2,35,1
449,0,0,Match,0.028867387,-0.237965557,"R20,R27,R70,R82,R111,R147,R178,R191,R214,R250",4,12,2,1424,1,5,3,4,55,1
450,0,1,NonMatch,0.652536954,-0.386779263,"R18,R28,R60,R79,R117,R150,R178,R190,R228,R232",3,15,0,1512,5,3,3,3,61,2
451,0,0,Match,0.513033847,0.458189991,"R4,R32,R57,R102,R123,R138,R179,R199,R209,R239",1,36,1,11054,1,3,4,2,30,1
452,0,0,Match,-0.486893976,0.492304904,"R2,R22,R56,R76,R105,R135,R168,R186,R217,R244",1,6,2,518,2,3,3,1,29,1
453,0,0,Match,0.02653323,0.770288348,"R6,R41,R66,R85,R104,R137,R176,R187,R217,R247",1,12,4,2759,2,5,2,4,34,1
454,0,0,Match,-0.044065701,0.549270201,"R2,R25,R65,R82,R105,R137,R181,R187,R217,R247",1,24,2,2670,2,5,4,4,35,1
455,0,1,NonMatch,0.334897136,-0.173614057,"R20,R27,R70,R82,R129,R147,R177,R205,R228,R250",2,24,2,4817,2,4,2,3,31,2
456,0,0,Match,-0.348996629,0.489576943,"R2,R23,R57,R77,R105,R135,R179,R187,R216,R243",1,24,2,2679,2,2,4,1,29,1
457,0,0,Match,-0.439512392,-0.351210861,"R16,R26,R51,R78,R110,R141,R168,R192,R228,R230",2,11,1,3905,2,3,2,2,36,1
458,0,1,NonMatch,0.181039453,-0.280350467,"R20,R27,R70,R82,R110,R147,R177,R191,R228,R250",2,12,2,3386,2,5,3,4,35,2
459,0,0,Match,-0.353990492,-0.551366433,"R20,R26,R60,R78,R110,R141,R168,R191,R226,R249",2,6,2,343,2,2,4,1,27,1
460,0,0,Match,-0.718092619,0.140500818,"R3,R22,R57,R77,R129,R138,R175,R200,R216,R243",1,18,2,4594,2,2,3,2,32,1
461,0,0,Match,0.566341641,-0.154713734,"R19,R36,R51,R95,R113,R152,R177,R192,R228,R250",2,36,2,3620,2,3,1,2,37,1
462,0,0,Match,0.143746595,-0.420244169,"R20,R27,R51,R78,R110,R147,R177,R191,R228,R250",2,15,2,1721,2,2,2,3,36,1
463,0,0,Match,0.141445554,-0.468450455,"R20,R27,R60,R78,R110,R147,R177,R191,R228,R250",3,12,2,3017,2,2,3,1,34,1
464,0,0,Match,-0.000716613,-0.317314179,"R20,R27,R70,R80,R110,R147,R181,R191,R214,R250",3,12,2,754,1,5,4,4,38,1
465,0,0,Match,-0.169501918,0.457922243,"R2,R25,R64,R82,R105,R135,R179,R187,R217,R244",1,18,2,1950,2,4,4,1,34,1
466,0,0,Match,0.071360393,-0.549167012,"R20,R27,R60,R78,R113,R147,R178,R191,R229,R250",2,24,2,2924,2,3,3,4,63,1
467,1,1,Match,0.296507298,-0.510219334,"R17,R27,R60,R78,R113,R147,R179,R190,R228,R235",2,24,0,1659,2,2,4,2,29,2
468,0,0,Match,-0.680659924,0.007886655,"R4,R32,R65,R97,R123,R133,R175,R197,R209,R238",1,48,0,7238,1,5,3,3,32,1
469,0,0,Match,-0.582924996,0.198924553,"R2,R23,R51,R91,R104,R133,R175,R183,R217,R237",1,33,0,2764,2,3,2,2,26,1
470,0,0,Match,0.285855791,0.504613355,"R3,R24,R65,R82,R123,R133,R175,R200,R217,R238",1,24,0,4679,2,4,3,3,35,1
471,0,1,NonMatch,-0.052887224,-0.658913902,"R11,R27,R60,R78,R115,R149,R161,R191,R222,R250",3,24,2,3092,3,2,3,2,22,2
472,0,1,NonMatch,-0.344394903,-0.620358327,"R9,R26,R60,R78,R110,R141,R161,R191,R224,R249",2,6,2,448,2,2,4,4,23,2
473,0,1,NonMatch,0.091307545,-0.595909907,"R20,R26,R60,R78,R110,R141,R168,R191,R228,R250",2,9,2,654,2,3,4,3,28,2
474,0,0,Match,-0.48498045,0.513187904,"R2,R22,R56,R76,R105,R137,R168,R187,R207,R247",1,6,2,1238,1,1,4,4,36,1
475,0,1,NonMatch,0.15507659,-0.507030303,"R17,R27,R60,R78,R112,R147,R179,R191,R228,R241",3,18,1,1245,2,3,4,2,33,2
476,1,1,Match,0.740818364,-0.152683879,"R11,R42,R53,R85,R112,R148,R177,R195,R228,R251",2,18,4,3114,2,2,1,4,26,2
477,0,0,Match,0.464689296,0.637893919,"R4,R31,R57,R91,R107,R136,R160,R188,R219,R247",1,39,2,2569,4,3,4,4,24,1
478,1,0,NonMatch,-0.099287768,-0.122496163,"R13,R27,R70,R82,R128,R147,R167,R204,R225,R250",4,24,2,5152,2,4,4,2,25,1
479,0,0,Match,0.368847785,-0.404549673,"R20,R27,R75,R80,R115,R149,R177,R191,R228,R250",3,12,2,1037,3,4,3,4,39,1
480,0,0,Match,0.09762691,-0.13829212,"R18,R27,R70,R82,R110,R147,R181,R191,R228,R234",2,15,1,1478,2,5,4,4,44,1
481,0,0,Match,-0.280957642,-0.51456029,"R11,R27,R50,R78,R110,R147,R155,R192,R222,R230",3,12,1,3573,2,3,1,1,23,1
482,0,0,Match,0.100073297,-0.475608607,"R10,R27,R60,R78,R113,R147,R179,R191,R228,R250",3,24,2,1201,2,2,4,1,26,1
483,0,0,Match,0.419315946,0.146996746,"R21,R29,R75,R82,R115,R150,R181,R192,R228,R250",2,30,2,3622,5,5,4,4,57,1
484,0,0,Match,-0.656498888,0.205445972,"R2,R24,R67,R80,R106,R130,R175,R185,R217,R230",1,15,0,960,5,4,3,2,30,1
485,0,0,Match,-0.362425145,0.360871258,"R2,R22,R56,R76,R107,R137,R179,R187,R217,R232",1,12,1,1163,4,3,4,4,44,1
486,0,1,NonMatch,-0.55442888,-0.509727466,"R18,R26,R59,R78,R110,R142,R172,R190,R226,R231",3,6,0,1209,2,1,4,4,47,2
487,0,0,Match,-0.452100555,0.372318994,"R2,R22,R51,R76,R104,R137,R175,R187,R217,R247",1,12,2,3077,2,3,2,4,52,1
488,0,0,Match,-0.044065701,0.549270201,"R2,R25,R65,R82,R105,R137,R181,R187,R217,R247",1,24,2,3757,2,5,4,4,62,1
489,0,0,Match,-0.43171602,0.496659484,"R2,R22,R56,R76,R105,R135,R168,R187,R217,R244",1,10,2,1418,3,3,3,2,35,1
490,0,0,Match,-0.507019177,0.361133202,"R2,R22,R51,R76,R104,R136,R168,R187,R217,R247",1,6,2,3518,2,3,2,3,26,1
491,0,0,Match,-0.15679182,0.547569067,"R2,R25,R65,R82,R104,R135,R175,R187,R217,R230",1,12,1,1934,2,5,2,2,26,1
492,1,1,Match,0.63821562,-0.051836504,"R20,R42,R70,R89,R129,R148,R177,R205,R228,R255",3,27,4,8318,2,5,2,4,42,2
493,0,0,Match,-0.499715041,0.368576154,"R2,R22,R51,R76,R104,R135,R168,R187,R217,R230",1,6,1,1237,3,3,1,1,27,1
494,0,0,Match,-0.484138882,-0.442371873,"R20,R26,R69,R80,R110,R144,R173,R191,R213,R249",3,6,2,368,1,5,4,4,38,1
495,0,0,Match,0.121064677,-0.512746336,"R18,R27,R60,R78,R110,R147,R177,R191,R228,R230",2,12,1,2122,2,3,3,2,39,1
496,0,1,NonMatch,-0.095648946,-0.521497983,"R11,R27,R50,R78,R113,R147,R161,R191,R214,R250",2,24,2,2996,1,3,2,4,20,2
497,1,1,Match,0.619425302,0.027573049,"R20,R36,R62,R98,R119,R153,R179,R205,R228,R253",3,36,2,9034,3,2,4,1,29,2
498,0,0,Match,-0.073514127,0.485822559,"R2,R25,R65,R82,R105,R137,R179,R187,R217,R239",1,24,1,1585,2,4,4,3,40,1
499,0,0,Match,0.177420397,-0.222106596,"R20,R27,R70,R82,R112,R147,R181,R191,R228,R250",3,18,2,1301,2,5,4,2,32,1
500,0,0,Match,-0.527594891,-0.278995217,"R16,R26,R75,R82,R115,R144,R174,R191,R226,R233",4,6,1,1323,3,5,2,4,28,1
501,0,1,NonMatch,0.140319938,-0.438928274,"R20,R27,R60,R78,R113,R147,R179,R191,R228,R250",2,24,2,3123,2,2,4,1,27,2
502,0,0,Match,0.550801495,-0.08690696,"R20,R36,R70,R95,R129,R152,R177,R205,R228,R250",2,36,2,5493,2,5,2,4,42,1
503,0,0,Match,0.432330589,-0.483026755,"R20,R26,R75,R80,R115,R144,R174,R191,R228,R250",4,9,2,1126,3,5,2,4,49,1
504,0,1,NonMatch,0.253198377,-0.540977478,"R18,R27,R60,R78,R115,R149,R179,R191,R228,R241",3,24,1,1216,3,2,4,4,38,2
505,1,1,Match,-0.006915824,-0.591796537,"R9,R27,R60,R78,R113,R147,R161,R191,R224,R250",2,24,2,1207,2,2,4,4,24,2
506,0,1,NonMatch,-0.516272708,0.487197177,"R2,R22,R56,R76,R105,R136,R168,R187,R209,R247",1,10,2,1309,1,3,4,4,27,2
507,0,0,Match,0.544303073,-0.395933342,"R16,R28,R51,R79,R115,R150,R177,R191,R228,R230",4,15,1,2360,4,3,2,2,36,1
508,1,1,Match,0.732236831,0.054327591,"R19,R44,R55,R88,R129,R149,R177,R205,R228,R255",3,15,3,6850,3,1,1,2,34,2
509,0,0,Match,-0.314312204,0.482323199,"R2,R23,R56,R77,R105,R135,R179,R187,R217,R244",1,24,2,1413,2,3,4,2,28,1
510,0,0,Match,0.492187198,0.538609109,"R5,R33,R65,R103,R129,R139,R181,R202,R220,R244",1,39,2,8588,3,5,4,2,45,1
511,0,1,NonMatch,0.063371568,-0.329742084,"R9,R27,R70,R80,R110,R147,R179,R191,R228,R250",2,12,2,759,2,4,4,2,26,2
512,0,0,Match,0.495301283,0.474560276,"R4,R32,R51,R95,R129,R138,R175,R200,R220,R244",1,36,2,4686,2,3,2,2,32,1
513,0,0,Match,0.13408765,-0.274934074,"R11,R27,R70,R82,R110,R147,R177,R191,R228,R250",4,15,2,2687,2,4,2,4,26,1
514,0,0,Match,-0.169824165,-0.652070408,"R8,R27,R60,R78,R110,R147,R161,R190,R225,R232",3,12,0,585,2,3,4,4,20,1
515,0,0,Match,-0.317704766,0.359872039,"R2,R23,R57,R77,R105,R135,R179,R187,R207,R243",1,24,2,2255,1,2,4,1,54,1
516,0,0,Match,-0.546233576,-0.407845702,"R18,R26,R69,R80,R110,R144,R169,R191,R226,R231",2,6,1,609,2,4,4,3,37,1
517,0,0,Match,-0.470859821,-0.457874648,"R16,R26,R51,R78,R110,R141,R168,R191,R226,R231",2,6,1,1361,2,2,2,4,40,1
518,0,1,NonMatch,0.581970802,0.517404828,"R4,R30,R50,R94,R122,R138,R160,R200,R220,R239",1,36,1,7127,2,2,2,4,23,2
519,0,0,Match,0.458643178,-0.615774007,"R20,R26,R74,R81,R115,R144,R169,R191,R226,R249",2,6,2,1203,3,5,3,2,43,1
520,0,0,Match,0.076874603,0.687822901,"R2,R25,R65,R80,R105,R137,R169,R186,R210,R234",1,6,1,700,1,5,4,4,36,1
521,0,0,Match,0.223594019,0.561486699,"R3,R25,R65,R82,R123,R139,R175,R203,R217,R239",1,24,1,5507,2,5,3,4,44,1
522,0,1,NonMatch,-0.118349168,-0.5465822,"R11,R27,R50,R78,R112,R147,R161,R191,R222,R250",2,18,2,3190,2,3,2,2,24,2
523,1,1,Match,0.703882739,0.022963862,"R20,R43,R61,R97,R129,R154,R178,R205,R228,R256",2,48,4,7119,2,3,3,4,53,2
524,0,0,Match,-0.103788018,0.5955258,"R2,R25,R65,R82,R105,R136,R160,R187,R217,R247",1,24,2,3488,3,4,3,4,23,1
525,0,0,Match,0.09015905,-0.485800083,"R10,R27,R60,R78,R112,R147,R179,R191,R228,R250",3,18,2,1113,2,3,4,4,26,1
526,0,0,Match,0.377849647,-0.317624419,"R20,R27,R51,R78,R129,R147,R177,R205,R228,R255",3,26,2,7966,2,2,2,3,30,1
527,0,0,Match,-0.326544791,0.396479074,"R2,R22,R57,R77,R105,R136,R179,R187,R217,R232",1,15,1,1532,3,3,4,3,31,1
528,0,0,Match,-0.206320126,0.558923014,"R2,R25,R64,R82,R104,R135,R169,R187,R217,R230",1,4,1,1503,2,4,2,1,42,1
529,1,1,Match,0.47118204,-0.272891711,"R20,R36,R62,R93,R113,R154,R179,R191,R228,R250",2,36,2,2302,2,3,4,4,31,2
530,0,0,Match,-0.35399049,-0.551366435,"R20,R26,R60,R78,R110,R141,R168,R191,R226,R249",2,6,2,662,2,2,3,4,41,1
531,0,0,Match,0.457771282,-0.249311794,"R20,R36,R70,R92,R113,R153,R177,R191,R228,R250",3,36,2,2273,2,4,3,1,32,1
532,0,1,NonMatch,0.272159656,-0.448495913,"R20,R27,R51,R78,R115,R149,R177,R191,R228,R250",3,15,2,2631,3,3,2,4,28,2
533,0,0,Match,-0.425177878,0.278934666,"R2,R22,R56,R76,R105,R130,R179,R183,R217,R232",1,12,0,1503,2,3,4,4,41,1
534,0,0,Match,-0.087259185,0.478194638,"R2,R25,R65,R82,R105,R136,R179,R187,R217,R247",1,24,2,1311,3,4,4,3,26,1
535,0,0,Match,-0.396377812,0.604590177,"R2,R23,R57,R77,R105,R135,R167,R187,R207,R243",1,24,2,3105,1,2,4,2,25,1
536,0,1,NonMatch,0.237789169,-0.462901761,"R16,R27,R51,R78,R112,R147,R177,R191,R228,R241",4,21,1,2319,2,2,2,1,33,2
537,0,0,Match,-0.459108127,-0.518472591,"R20,R26,R59,R78,R111,R141,R168,R191,R213,R249",2,6,2,1374,1,1,4,3,75,1
538,0,0,Match,0.291592417,-0.074334653,"R18,R27,R70,R82,R112,R147,R177,R192,R228,R241",3,18,1,3612,2,5,3,4,37,1
539,1,1,Match,0.628265605,0.086024428,"R20,R36,R72,R103,R129,R154,R181,R205,R228,R255",2,48,2,7763,2,5,4,4,42,2
540,0,0,Match,0.03927813,-0.44352398,"R19,R27,R51,R78,R112,R147,R178,R191,R228,R250",4,18,2,3049,2,2,1,1,45,1
541,0,1,NonMatch,-0.14290193,-0.549480298,"R10,R27,R50,R78,R110,R147,R155,R191,R222,R250",3,12,2,1534,2,2,1,1,23,2
542,0,0,Match,0.101759217,0.513266785,"R2,R24,R65,R82,R105,R131,R181,R183,R217,R236",1,24,0,2032,2,5,4,4,60,1
543,0,1,NonMatch,0.242226426,0.066223622,"R20,R27,R70,R82,R126,R147,R181,R197,R215,R255",2,30,2,6350,1,5,4,4,31,2
544,0,1,NonMatch,0.188105408,-0.417365187,"R20,R27,R51,R78,R112,R147,R177,R191,R228,R250",4,18,2,2864,2,3,2,1,34,2
545,0,0,Match,-0.031559658,0.542283433,"R2,R25,R65,R82,R105,R137,R181,R187,R217,R234",1,12,1,1255,2,5,4,4,61,1
546,1,1,Match,0.351720396,-0.446732425,"R18,R27,R59,R78,R113,R147,R179,R190,R228,R235",2,24,0,1333,2,1,4,2,43,2
547,0,0,Match,-0.267549804,0.445519366,"R2,R23,R57,R77,R105,R137,R179,R187,R217,R239",1,24,1,2022,2,3,4,4,37,1
548,0,0,Match,-0.197112118,0.546233187,"R2,R25,R64,R82,R105,R135,R175,R187,R217,R244",1,24,2,1552,2,4,3,1,32,1
549,1,1,Match,0.676766035,-0.40925481,"R9,R39,R60,R84,R110,R148,R161,R195,R225,R252",2,12,3,626,2,3,4,4,24,2
550,0,0,Match,-0.759552064,0.001150192,"R4,R33,R64,R100,R120,R139,R175,R199,R210,R239",1,48,1,8858,1,4,2,1,35,1
551,0,0,Match,0.067190449,0.711781043,"R2,R25,R65,R80,R105,R136,R160,R186,R209,R232",1,12,1,996,1,4,4,4,23,1
552,0,0,Match,0.092560043,0.751475492,"R6,R47,R66,R85,R107,R137,R169,R187,R217,R247",1,6,3,1750,4,5,2,4,45,1
553,1,1,Match,0.719107964,0.098474657,"R19,R36,R71,R97,R121,R152,R177,R205,R228,R254",2,48,2,6999,2,4,1,1,34,2
554,0,0,Match,0.240546103,-0.552402481,"R17,R27,R60,R78,R115,R149,R179,R191,R228,R230",3,12,1,1995,3,2,4,1,27,1
555,0,0,Match,-0.431609407,-0.449860773,"R20,R26,R69,R81,R111,R144,R173,R191,R229,R250",3,9,2,1199,2,4,4,4,67,1
556,0,1,NonMatch,-0.13510421,-0.559956477,"R10,R27,R50,R78,R110,R147,R157,R191,R222,R250",3,12,2,1331,2,2,2,1,22,2
557,0,1,NonMatch,-0.228685771,-0.161958572,"R20,R47,R60,R88,R115,R149,R177,R195,R228,R251",3,18,4,2278,3,2,3,3,28,2
558,0,1,NonMatch,0.579268271,0.542535424,"R7,R41,R53,R86,R126,R138,R176,R197,R209,R247",1,21,4,5003,1,3,1,4,29,2
559,1,1,Match,0.648116823,-0.16690538,"R20,R39,R70,R85,R113,R148,R177,R195,R228,R252",2,24,3,3552,2,4,3,4,27,2
560,0,1,NonMatch,0.213841885,-0.41037214,"R16,R27,R51,R78,R112,R147,R177,R191,R228,R241",3,18,1,1928,2,2,2,2,31,2
561,0,0,Match,0.093486267,-0.203425351,"R20,R27,R70,R82,R113,R147,R181,R191,R214,R250",2,24,2,2964,1,5,4,4,49,1
562,1,1,Match,-0.626155676,-0.248967614,"R9,R39,R70,R84,R113,R148,R161,R195,R225,R252",2,24,3,1546,2,4,4,4,24,2
563,0,0,Match,-0.561703476,-0.445197522,"R15,R26,R51,R78,R110,R142,R174,R190,R226,R230",4,6,0,683,2,2,2,1,29,1
564,0,1,NonMatch,-0.696472208,-0.178633963,"R19,R34,R51,R101,R126,R152,R177,R199,R215,R255",3,36,2,12389,1,3,1,4,37,2
565,0,0,Match,-0.229039853,-0.312416528,"R18,R27,R60,R78,R123,R147,R179,R197,R212,R238",3,24,0,4712,1,3,4,2,37,1
566,0,0,Match,0.364450869,0.202371878,"R11,R27,R74,R82,R115,R149,R161,R190,R222,R235",3,24,0,1553,3,4,3,2,23,1
567,0,1,NonMatch,0.181039453,-0.280350467,"R20,R27,R70,R82,R110,R147,R177,R191,R228,R250",2,12,2,1372,2,4,2,3,36,2
568,0,0,Match,-0.184265909,0.619210007,"R2,R25,R68,R82,R107,R135,R175,R187,R217,R240",1,24,1,2578,5,5,2,2,34,1
569,0,0,Match,0.504071982,0.130799476,"R20,R35,R71,R97,R113,R153,R179,R197,R215,R250",3,48,2,3979,1,4,4,1,41,1
570,1,1,Match,0.655713336,0.011495814,"R20,R36,R61,R97,R129,R153,R177,R205,R228,R255",2,48,2,6758,2,3,3,2,31,2
571,0,1,NonMatch,-0.012185213,-0.582160556,"R11,R27,R60,R78,R113,R147,R161,R191,R224,R250",2,24,2,3234,2,2,4,4,23,2
572,0,0,Match,0.223666578,0.563050788,"R3,R25,R65,R82,R123,R139,R175,R202,R217,R239",1,30,1,5954,2,4,3,2,38,1
573,0,0,Match,0.423300896,0.614933978,"R3,R23,R48,R77,R126,R138,R175,R196,R207,R247",1,24,2,5433,1,1,2,4,26,1
574,0,0,Match,-0.05639398,-0.578169125,"R9,R27,R60,R78,R110,R147,R161,R191,R225,R250",2,15,2,806,2,3,4,4,22,1
575,0,0,Match,0.242931258,-0.611576977,"R20,R26,R69,R80,R110,R144,R173,R191,R228,R250",3,9,2,1082,2,5,4,4,27,1
576,0,0,Match,-0.112651781,0.628397592,"R2,R25,R65,R82,R104,R136,R160,R187,R217,R232",1,15,1,2788,2,4,2,3,24,1
577,0,0,Match,0.181039453,-0.280350467,"R20,R27,R70,R82,R110,R147,R177,R191,R228,R250",3,12,2,2930,2,4,2,1,27,1
578,0,0,Match,-0.34777534,0.593500941,"R2,R23,R57,R77,R105,R135,R175,R187,R209,R239",1,24,1,1927,1,3,3,2,33,1
579,1,1,Match,0.551941312,-0.13454122,"R17,R36,R62,R93,R113,R154,R179,R191,R228,R242",3,36,1,2820,2,2,4,4,27,2
580,0,0,Match,-0.432107345,0.237124424,"R2,R23,R56,R77,R105,R136,R179,R186,R216,R247",1,24,2,937,2,2,4,3,27,1
581,0,1,NonMatch,0.310183614,-0.298187297,"R17,R27,R70,R80,R112,R147,R177,R191,R228,R241",3,18,1,1056,2,5,3,3,30,2
582,0,0,Match,-0.082873106,-0.402596123,"R16,R27,R51,R78,R110,R147,R178,R191,R228,R232",3,12,1,3124,2,2,1,3,49,1
583,0,0,Match,-0.43171602,0.496659484,"R2,R22,R56,R76,R105,R135,R168,R187,R217,R244",1,9,2,1388,2,3,4,2,26,1
584,1,1,Match,0.468186806,-0.258223194,"R20,R36,R62,R92,R113,R153,R179,R191,R228,R250",3,36,2,2384,2,2,4,1,33,2
585,0,0,Match,0.014645029,0.560531045,"R2,R25,R65,R82,R105,R137,R181,R187,R210,R247",1,12,2,2133,1,5,4,4,52,1
586,0,1,NonMatch,-0.118349168,-0.5465822,"R11,R27,R50,R78,R112,R147,R161,R191,R222,R250",2,18,2,2039,2,3,1,4,20,2
587,0,0,Match,-0.352006083,-0.381727069,"R16,R26,R51,R78,R110,R141,R168,R191,R228,R230",2,9,1,2799,2,3,2,2,36,1
588,0,0,Match,-0.040444365,-0.5911743,"R9,R27,R60,R78,R110,R147,R157,R191,R225,R250",2,12,2,1289,2,3,4,1,21,1
589,0,1,NonMatch,0.130002708,-0.449091956,"R20,R27,R60,R78,R112,R147,R179,R191,R228,R250",2,18,2,1217,2,3,4,3,47,2
590,0,1,NonMatch,0.121792961,-0.115773816,"R18,R27,R70,R82,R111,R147,R178,R191,R228,R234",2,12,1,2246,2,5,3,3,60,2
591,0,0,Match,0.043975275,-0.186268365,"R18,R27,R70,R80,R111,R147,R179,R191,R228,R232",2,12,1,385,2,4,4,3,58,1
592,0,0,Match,-0.197591657,-0.358795045,"R18,R27,R60,R78,R113,R147,R179,R190,R212,R236",3,24,0,1965,1,3,4,4,42,1
593,0,0,Match,-0.020501723,0.56255513,"R2,R25,R68,R82,R107,R137,R181,R187,R217,R247",1,21,2,1572,5,5,4,4,36,1
594,0,1,NonMatch,-0.038488668,-0.561959191,"R11,R27,R60,R78,R113,R147,R161,R191,R222,R250",3,24,2,2718,2,3,3,4,20,2
595,1,1,Match,0.750337983,-0.120457425,"R20,R39,R70,R84,R113,R148,R182,R195,R214,R252",2,24,3,1358,1,5,4,3,40,2
596,1,1,Match,0.721607437,0.363054289,"R19,R44,R52,R88,R114,R142,R172,R195,R226,R251",3,6,3,931,3,2,1,1,32,2
597,0,1,NonMatch,-0.056937135,-0.27009708,"R9,R27,R70,R82,R113,R147,R161,R191,R225,R250",2,24,2,1442,2,4,4,4,23,2
598,1,1,Match,0.728025257,-0.068920696,"R19,R42,R55,R89,R113,R148,R177,R205,R228,R252",3,24,4,4241,2,3,1,4,36,2
599,0,1,NonMatch,-0.141887321,0.563691727,"R2,R25,R65,R82,R104,R135,R175,R187,R217,R239",1,18,1,2775,2,4,2,2,31,2
600,0,0,Match,-0.5615006,0.215060831,"R2,R23,R51,R77,R104,R133,R175,R183,R217,R237",1,24,0,3863,2,3,1,2,32,1
601,0,0,Match,-0.452180346,-0.513756568,"R19,R26,R51,R78,R110,R142,R172,R191,R226,R249",3,7,2,2329,2,2,1,1,45,1
602,0,1,NonMatch,0.110997216,-0.60711932,"R20,R26,R60,R78,R110,R142,R173,R191,R228,R250",3,9,2,918,2,3,4,1,30,2
603,1,1,Match,0.621210845,-0.137246447,"R20,R39,R70,R89,R113,R148,R179,R195,R228,R252",3,24,3,1837,2,4,4,4,34,2
604,0,1,NonMatch,-0.588361934,0.085711548,"R4,R30,R57,R95,R105,R135,R179,R188,R219,R244",1,36,2,3349,2,3,4,2,28,2
605,0,0,Match,-0.22666013,-0.642916161,"R10,R26,R60,R78,R110,R142,R161,R191,R224,R250",4,10,2,1275,2,2,4,2,23,1
606,0,0,Match,0.73942938,-0.337161876,"R12,R47,R60,R85,R115,R150,R161,R194,R225,R252",2,24,3,2828,4,3,4,4,22,1
607,0,0,Match,-0.610594502,0.237598645,"R2,R23,R57,R77,R108,R140,R175,R202,R217,R239",1,24,1,4526,2,3,3,2,74,1
608,1,1,Match,0.487332089,-0.289758614,"R20,R36,R62,R93,R115,R154,R179,R191,R228,R250",3,36,2,2671,3,3,4,4,50,2
609,0,0,Match,-0.381958656,0.385686636,"R2,R22,R57,R77,R105,R135,R179,R187,R216,R243",1,18,2,2051,2,2,4,1,33,1
610,0,0,Match,0.014645029,0.560531045,"R2,R25,R65,R82,R105,R137,R181,R187,R210,R247",1,15,2,1300,1,5,4,4,45,1
611,1,1,Match,-0.109880586,-0.684888356,"R9,R27,R59,R78,R114,R149,R161,R191,R224,R250",2,12,2,741,3,1,4,3,22,2
612,0,1,NonMatch,-0.224118391,-0.220272246,"R19,R26,R75,R82,R115,R144,R174,R191,R228,R250",4,10,2,1240,3,5,1,4,48,2
613,0,0,Match,0.423626811,-0.565377931,"R21,R28,R60,R79,R115,R150,R180,R191,R228,R250",2,21,2,3357,5,2,4,2,29,1
614,1,0,NonMatch,-0.689809535,-0.318058973,"R11,R39,R53,R85,R113,R148,R161,R194,R222,R252",2,24,3,3632,2,3,1,4,22,1
615,0,1,NonMatch,-0.053401955,0.375037371,"R2,R24,R63,R82,R105,R131,R158,R183,R217,R235",1,18,0,1808,2,4,4,1,22,2
616,0,0,Match,0.717435447,0.284139572,"R20,R43,R55,R101,R126,R152,R178,R199,R215,R256",3,48,4,12204,1,3,2,2,48,1
617,0,0,Match,0.61605042,0.353795711,"R15,R35,R51,R100,R123,R152,R177,R199,R212,R238",3,60,0,9157,1,3,2,2,27,1
618,0,0,Match,-0.566775675,-0.426956079,"R16,R26,R51,R78,R110,R141,R168,R192,R226,R231",2,6,1,3676,2,3,1,3,37,1
619,0,1,NonMatch,-0.152904349,-0.620372818,"R11,R27,R50,R78,R115,R149,R161,R191,R222,R250",3,30,2,3441,3,3,2,4,21,2
